ID_CLIENTE;RECENCIA;FREQUENCIA;MONETARY
37;5;973;230656,33
239;1374;16;2954,08
342;1674;65;30,24
485;394;206;60319,16
518;586;104;28118,91
771;5;92;28150,18
398;258;90;51022,4
560;27;340;83651,03
599;1905;2;393,92
684;176;253;81366,33
353;13;449;155752,08
82;5;367;126440,43
145;7;559;245291,74
338;106;99;664,63
608;1415;86;121232,33
396;50;661;195519,51
281;16;157;58795,45
595;1;323;83869,38
72;1413;11;954,9
511;132;152;77437,63
570;141;60;31186,34
576;475;53;7199,16
585;1192;14;20812,5
713;5;415;223895,36
102;141;17;13140,65
108;1455;24;2338,32
39;7;513;156910,44
74;1280;68;14591,5
213;1289;66;14280,65
759;26;234;47345,52
577;1442;32;25972,98
252;537;75;34952,38
625;1056;25;3145,98
111;30;122;38408,24
125;1199;21;4295,64
161;6;33;12294,82
244;750;80;96203,04
349;211;131;53910,41
409;5;321;196760,59
416;1867;2;274,56
444;1743;3;631,2
466;6;1549;864087,26
471;391;15;5489,45
488;693;1561;399078,02
507;5;2241;2340967,27
538;799;79;34240,53
557;1048;8;2121,96
845;35;43;5535,74
1013;538;107;3048,84
157;30;100;70611,32
551;590;36;14714,85
778;432;8;1499,29
872;19;38;4191,4
199;1051;19;9854,16
261;1807;5;615
605;1646;22;13123,25
302;414;57;17451,82
467;5;352;226015,35
137;1008;186;63409,58
166;1302;130;38292,91
172;1359;36;9778,67
629;1812;7;1510,84
374;1461;6;1005
414;14;143;72571,66
236;6;95;71479,25
513;1461;6;1506,92
685;21;60;33726,27
177;462;55;11815,11
587;687;51;16950,25
671;1503;13;3440,06
427;140;42;5513,71
146;14;154;40225,61
259;44;166;63408,25
580;5;62;139882,93
597;762;15;3758,78
394;51;101;16602,57
515;22;353;68498,94
267;686;21;7626,15
260;838;57;26056,24
212;106;131;84181,1
224;455;20;8170,01
375;1206;153;40448,98
448;19;183;70140,89
499;5;345;178444,76
480;37;110;21178,07
379;154;52;20650,25
501;14;231;78428,14
765;1364;9;1768,9
99;14;424;69018,44
143;7;840;439984,16
895;85;71;40850,58
441;8;192;34995,28
631;189;168;85177,94
904;653;22;4789,46
46;8;354;55926,58
241;735;5;1893,66
324;883;6;1047,26
149;1114;18;6470,36
158;876;8;1971,72
584;544;38;10417,59
28;308;4068;6424627,76
30;675;5329;11619930,87
492;47;75;28599,43
530;675;6;80,98
742;1727;7;5580
317;1864;2;515,96
89;1632;52;16960,02
215;8;108;23527,04
280;1498;27;9336,35
310;1664;9;5112,75
424;6;354;103508,24
545;6;334;88598,06
639;951;60;31992,19
677;35;336;128780,36
500;44;66;13369,15
588;15;1101;726558,41
36;13;152;216953,11
365;5;126;39588,7
421;8;437;579238,76
610;1387;47;14146,08
288;391;155;43169,35
435;982;120;32870,33
571;602;140;98424,89
761;1905;8;289,3
219;69;125;16274,55
907;147;51;21315,2
456;6;345;116507,84
732;14;41;7319,45
262;5;319;339635,75
647;1458;23;3168,98
763;1570;8;1765,37
862;587;34;6395,13
275;13;146;418539,22
75;20;138;35239,66
140;5;769;226909,98
543;107;394;140642,31
556;42;77;73427,28
769;1815;6;2093,81
118;6;406;168808,29
459;1535;76;40668,3
554;1451;79;17881,23
105;112;59;17522,26
114;1063;57;12344,3
506;1212;7;735,84
795;1532;63;81297,03
354;831;7;1451,6
48;174;131;125661,13
88;30;157;24035,43
155;1324;3;52,79
282;1111;3;84
406;1920;2;378
432;97;25;7857,72
561;1267;6;1966,08
